Item,Date,Document
,2026-09-09,[Shareholder Meeting / Postal Ballot-Outcome of AGM](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2f043d4a-e04c-4472-a79c-8da4d7c9d26a.pdf)
,2026-09-09,[Shareholder Meeting / Postal Ballot-Scrutinizers Report](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=619c85c9-5d54-4c85-ae23-8ab7a23323d5.pdf)
,2026-09-07,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c0b0a300-835a-46fe-a648-f5a659afee58.pdf)
,2026-09-02,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e1b2dfcb-20c3-4164-84cb-67d2956e1d6f.pdf)
,2026-08-18,[Announcement under Regulation 30 (LODR)-Allotment of ESOP / ESPS](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8143885f-fe1c-41a2-98e5-c62793f42ace.pdf)
,2026-08-15,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=35160830-d065-4419-9155-624726087ad3.pdf)
,2026-08-14,[Notice Of The 31St Annual General Meeting Of Triveni Turbine Limited To Be Held Through Video Conferencing / Other Audio-Visual Means On September 9 2026.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=89234047-c175-4647-ab2f-482989196574.pdf)
,2026-08-14,[Reg. 34 (1) Annual Report.](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=32c99c04-fb1f-4e4f-adee-40847e4dcc9c.pdf)
,2026-08-14,[Business Responsibility and Sustainability Reporting (BRSR)](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5e8dec88-f2c9-4f20-b63a-6d5750225eb5.pdf)
,2026-08-11,[Announcement under Regulation 30 (LODR)-Newspaper Publication](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=283205b4-0436-4877-ba44-7dbfca175932.pdf)
,Date,Document
,---,---
,2026-08-17,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=06048a54-fdd1-42a4-8fde-09496e28f365.pdf)
,2026-05-22,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7eb58552-4e6c-4fe7-a688-a8cfa6177583.pdf)
,2026-02-10,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c3ee1092-90cf-4e58-9a26-9edd9f2b48b8.pdf)
,2025-11-18,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e284c057-7b7f-4f4c-9bdb-d88807e00402.pdf)
,2025-08-11,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e8422854-86ff-44b3-84c2-5c2341cb6949.pdf)
,2025-02-07,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3534f524-4c32-4b41-b4bc-b64f34d790c3.pdf)
,2024-08-12,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=96ae50c6-64d1-4c21-9230-0a0953c3dde5.pdf)
,2024-05-22,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=00e664a6-91ad-42cf-a877-e796df8d9782.pdf)
,2024-02-12,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8f1767a8-1045-4a6a-aa17-10e5f8e29ea7.pdf)
,2023-11-08,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1667d924-f63c-4bf4-879f-d606dd3f148b.pdf)
,Date,Document
,---,---
,2026-08-11,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2b4f05e0-d82b-484a-992d-f0894d59935e.pdf)
,2026-05-19,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9a4cc77b-0530-4000-9278-a01d3bf71562.pdf)
,2025-11-12,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5cdb73c4-321f-4d62-a003-37fa86df3038.pdf)
,2025-08-05,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7cb8318f-8622-4ad4-b1c5-2e9b295db169.pdf)
,2025-05-12,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=800169d8-89fb-4d71-b2f6-f1e42077601f.pdf)
,2024-11-12,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=61634333-3981-4e7c-b5a0-a9a755a438de.pdf)
