Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,72.84%,72.84%,72.84%,72.84%,72.84%,72.84%,72.84%,72.84%,72.84%,72.84%,72.84%,72.84%
FIIs,2.32%,2.59%,2.32%,3.13%,5.05%,5.1%,5.07%,4.89%,4.66%,4.98%,4.86%,2.41%
DIIs,5.83%,6.07%,6.18%,6.77%,6.33%,6.16%,6.21%,6.38%,6.4%,6.38%,6.42%,6.6%
Government,0%,0%,0%,0%,0%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%
Public,17.5%,17.03%,17.27%,16%,14.78%,14.9%,14.94%,14.94%,15.13%,14.7%,14.74%,16.78%
Others,1.51%,1.46%,1.39%,1.26%,1%,0.99%,0.94%,0.94%,0.96%,1.09%,1.14%,1.36%
No. of Shareholders,1341100,1397700,1844550,2074710,2296190,2317900,2371570,2290740,2279950,2207490,2190490,2210910
