Item,Dec 2025,Mar 2026,Jun 2026
Promoters,17.57%,17.55%,17.53%
FIIs,3.86%,4.26%,12.76%
DIIs,15.86%,15.48%,23.57%
Government,0%,0%,0%
Public,1.28%,1.33%,1.92%
Others,61.43%,61.38%,44.22%
No. of Shareholders,128502,111973,135967
