Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-21.62%,-12.18%,57.63%
,ebitda margin growth,-67.9%,-13.38%,-15.87%,-17.03%
,net income growth,-106.09%,-36.17%,-8%,0%
,revenue growth,-28.09%,2.56%,5%,11%
,roce,-104.61%,-36.74%,-37.41%,12.08%
,roe,-106.09%,-37.71%,9.67%,-45.5%
