Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,352,327,369,418,451,422,446,511,568,784,814,926
Expenses,283,271,304,340,375,367,381,437,479,684,709,788
Operating Profit,70,56,66,79,75,55,65,74,88,100,105,138
OPM %,20,17,18,19,17,13,15,14,16,13,13,15
Other Income,1,12,7,15,15,20,25,20,15,7,13,13
Interest,2,3,4,6,6,6,5,5,9,15,15,15
Depreciation,7,8,15,12,13,13,14,14,16,26,30,33
Profit before tax,62,57,53,76,71,57,71,75,78,66,74,103
Tax %,10,11,13,19,16,12,17,16,14,19,18,19
Net Profit,56,51,46,61,60,50,59,63,68,54,60,83
EPS in Rs,5.41,4.93,4.47,5.61,5.53,4.6,5.43,5.8,6.22,4.94,5.53,7.68
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,343,441,571,142,483,1065,1393,1737,2677,3092,,
Expenses,292,395,484,163,451,876,1132,1453,2299,2660,,
Operating Profit,51,46,87,-21,32,189,261,285,378,432,,
OPM %,15,10,15,-15,7,18,19,16,14,14,,
Other Income,9,-1,18,5,37,24,21,75,54,48,,
Interest,5,6,5,2,7,14,19,33,52,53,,
Depreciation,1,5,12,11,16,25,36,52,86,106,,
Profit before tax,53,34,88,-30,46,174,227,275,293,321,,
Tax %,33,23,17,16,27,15,12,16,17,—,,
Net Profit,36,26,73,-34,34,148,201,230,244,265,,
EPS in Rs,187.62,138.92,384.79,-180.13,3.23,13.84,19.39,21.17,22.5,24.37,,
Dividend Payout %,0,0,0,0,0,0,0,0,0,—,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Equity Capital,2,2,2,2,10,10,10,11,11,,,
Reserves,130,159,238,202,221,330,534,1184,1540,,,
Borrowings,0,21,17,8,63,71,210,214,756,,,
Other Liabilities,462,644,536,364,976,2147,4100,4797,6996,,,
Total Liabilities,594,826,793,576,1271,2558,4855,6206,9303,,,
Fixed Assets,2,44,35,23,92,136,349,345,1619,,,
CWIP,0,0,4,9,0,0,14,39,14,,,
Investments,0,0,0,0,0,0,2,173,263,,,
Other Assets,592,782,755,545,1179,2422,4490,5649,7407,,,
Total Assets,594,826,793,576,1271,2558,4855,6206,9303,,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Cash from Operating Activity,6,93,-3,51,198,237,226,289,-21,,,
Cash from Investing Activity,7,-39,-6,-28,-27,-85,-154,-443,-361,,,
Cash from Financing Activity,-5,-5,-8,-5,-16,-14,115,365,441,,,
Net Cash Flow,8,49,-18,17,156,138,188,210,60,,,
Free Cash Flow,5,75,-12,43,184,230,188,236,-87,,,
CFO/OP,34,231,11,-255,674,138,97,112,9,,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Debtor Days,311,314,194,309,401,537,867,853,724,,,
Cash Conversion Cycle,311,314,194,309,401,537,867,853,724,,,
Working Capital Days,-81,-129,-36,-391,-234,-137,-114,-104,-134,,,
ROCE %,—,29,42,1,18,53,43,27,18,,,
