Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-29.03%,-13.26%,25.69%
,ebitda margin growth,0.88%,-0.2%,1.35%,1.79%
,net income growth,-22.53%,26.67%,20%,19%
,revenue growth,1.96%,8.73%,15%,16%
,roce,—,-8.55%,-10.16%,9.52%
,roe,—,7.33%,17.45%,18.23%
