Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,6714,6989,7458,7725,7737,7833,7623,7605,7389,7553,7662,8054
Expenses,2883,2948,3340,2820,2984,2969,3080,3110,3129,2961,2999,3345
Financing Profit,-962,-934,-1191,-580,-791,-753,-809,-740,-833,-501,-366,-559
Financing Margin %,-14,-13,-16,-8,-10,-10,-11,-10,-11,-7,-5,-7
Other Income,1267,1255,1642,1271,1488,1583,1815,1825,1724,1720,1816,1870
Interest,4794,4975,5309,5486,5544,5617,5352,5235,5093,5093,5030,5269
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,304,320,451,691,697,830,1006,1085,891,1218,1449,1311
Tax %,25,24,-4,25,19,25,26,25,25,21,25,18
Net Profit,229,243,467,516,567,619,745,809,664,957,1082,1072
EPS in Rs,0.08,0.08,0.16,0.16,0.18,0.2,0.24,0.26,0.21,0.3,0.34,0.34
Gross NPA %,2,2,1.7,1.7,1.6,1.6,1.6,1.6,1.6,1.5,1.3,1.3
Net NPA %,0.9,0.9,0.6,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.2,0.2
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,20269,29624,26052,20039,19019,22702,27606,30919,30208,30658,,
Expenses,6595,11834,39246,14937,8058,10371,11350,11360,11621,12434,,
Financing Profit,1144,-2021,-32452,-7509,-1568,-2468,-3272,-2439,-1863,-2260,,
Financing Margin %,6,-7,-125,-37,-8,-11,-12,-8,-6,-7,,
Other Income,5293,4675,11956,3107,3405,3883,5355,6157,7084,7130,,
Interest,12529,19811,19258,12611,12528,14800,19527,21998,20450,20484,,
Depreciation,232,305,342,360,403,433,546,493,578,0,,
Profit before tax,6205,2349,-20838,-4762,1434,981,1538,3224,4643,4870,,
Tax %,32,27,-21,-27,26,25,16,24,24,—,,
Net Profit,4233,1709,-16433,-3489,1064,736,1285,2447,3512,3775,,
EPS in Rs,18.38,7.38,-13.09,-1.39,0.42,0.26,0.45,0.78,1.12,1.19,,
Dividend Payout %,15,27,0,0,0,0,0,0,0,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,456,461,463,2510,5011,5011,5751,5754,6271,6276,,
Reserves,21583,25292,26424,19185,28127,28688,34967,36402,41562,44882,,
Borrowing,38607,74894,108424,113790,63949,72340,77754,80508,71971,65451,,
Deposits,142857,200689,227558,105311,162846,197063,217382,266230,284420,318969,,
Other Liabilities,11556,11115,17990,17036,13660,15476,19350,17469,19892,34626,,
Total Liabilities,215060,312450,380860,257832,273593,318578,355204,406362,424116,470204,,
Fixed Assets,612,765,778,730,2096,2016,2156,2509,2872,3097,,
CWIP,75,72,51,294,63,125,296,357,206,101,,
Investments,49982,68293,89329,43748,43115,51754,76749,89997,84725,87755,,
Other Assets,164391,243319,290701,213061,228320,264683,276003,313499,336313,379251,,
Total Assets,215060,312450,380860,257832,273593,318578,355204,406362,424116,470204,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,4384,-21810,-24573,-57721,55396,23598,-25816,9645,6386,21217,,
Cash from Investing Activity,-4478,-8738,-6235,14128,441,-14566,-13026,-12453,8514,-4952,,
Cash from Financing Activity,11429,35748,33039,25038,-34942,8391,11450,2771,-5651,-6485,,
Net Cash Flow,11336,5199,2231,-18555,20895,17423,-27392,-38,9249,9780,,
Free Cash Flow,3999,-22195,-24871,-58256,55137,23199,-26555,8683,5665,20515,,
CFO/OP,54,-143,-123,433,1101,216,-209,62,33,109,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,19,18,6,-68,-13,3,2,3,5,7,,
