Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-599.76%,—,-700.66%
,ebitda margin growth,915.97%,-24.36%,-28.24%,-16.21%
,net income growth,681.33%,-25.63%,26%,7%
,revenue growth,28.62%,11.87%,31%,21%
,roce,907.96%,-31.51%,-36.97%,22.43%
,roe,-681.31%,-36.09%,21.61%,-37.36%
