Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1231,1346,1486,1144,1286,1396,1646,1254,1368,1614,1852,1442
Expenses,1091,1190,1314,1014,1128,1228,1461,1134,1218,1441,1623,1287
Operating Profit,140,157,172,130,158,168,185,120,150,173,229,155
OPM %,11,12,12,11,12,12,11,10,11,11,12,11
Other Income,10,6,12,9,10,18,17,40,39,21,30,31
Interest,48,54,55,52,60,68,67,66,70,74,108,83
Depreciation,41,43,48,43,43,44,44,44,44,42,43,44
Profit before tax,60,66,82,45,65,73,90,51,74,77,108,60
Tax %,19,21,23,26,19,22,20,23,26,23,22,26
Net Profit,49,52,62,34,53,56,72,39,55,60,84,44
EPS in Rs,1.87,2.06,2.36,1.41,2.09,2.23,2.81,1.56,2.23,2.33,3.14,1.78
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,1633,2207,1947,1982,3193,3857,5009,5472,6088,6277,,
Expenses,1429,1949,1717,1784,2860,3459,4425,4830,5412,5569,,
Operating Profit,204,258,230,198,333,398,584,642,676,708,,
OPM %,12,12,12,10,10,10,12,12,11,11,,
Other Income,24,27,16,12,21,27,30,52,126,121,,
Interest,49,59,64,55,76,126,197,247,318,335,,
Depreciation,56,75,74,76,91,130,171,175,174,174,,
Profit before tax,124,150,108,78,187,170,246,273,310,320,,
Tax %,34,35,36,37,16,26,21,21,23,—,,
Net Profit,81,98,69,49,156,125,194,215,238,243,,
EPS in Rs,3.45,4.81,2.93,2.08,6.6,5.26,7.56,8.54,9.25,9.48,,
Dividend Payout %,12,9,12,14,8,12,10,10,9,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,20,20,20,24,24,24,24,24,24,24,,
Reserves,336,397,625,680,722,873,1006,1144,1327,1515,,
Borrowings,522,573,781,627,845,1388,1703,2127,2505,3029,,
Other Liabilities,471,445,580,678,873,944,807,1570,1994,2802,,
Total Liabilities,1350,1435,2006,2009,2464,3229,3540,4865,5850,7370,,
Fixed Assets,583,558,834,861,930,1213,1540,1729,1720,1606,,
CWIP,35,63,70,90,300,180,268,131,73,172,,
Investments,76,91,48,54,54,49,74,79,94,409,,
Other Assets,656,723,1054,1004,1179,1788,1657,2926,3962,5183,,
Total Assets,1350,1435,2006,2009,2464,3229,3540,4865,5850,7370,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,119,69,152,370,216,-142,484,205,394,-60,,
Cash from Investing Activity,-65,-61,-190,-123,-363,-295,-646,-443,-556,-264,,
Cash from Financing Activity,-57,-8,46,-236,140,454,159,248,224,314,,
Net Cash Flow,-4,0,9,11,-7,16,-2,10,62,-10,,
Free Cash Flow,54,15,-20,249,-131,-409,-134,-19,281,-358,,
CFO/OP,84,48,74,170,117,-37,134,43,70,5,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,75,79,101,93,91,66,44,49,67,131,,
Inventory Days,75,75,68,80,96,66,57,76,60,46,,
Days Payable,111,82,97,108,154,90,59,113,127,150,,
Cash Conversion Cycle,39,72,73,65,33,43,43,12,0,26,,
Working Capital Days,-19,6,32,-11,-49,-7,-20,-19,1,21,,
ROCE %,15,17,17,12,9,14,12,14,14,15,,
