Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,6.43%,-48.25%,476.21%
,ebitda margin growth,4.87%,6.43%,6.03%,1.18%
,net income growth,3.37%,-86.88%,8%,50%
,revenue growth,9.9%,-2.21%,6%,8%
,roce,5.32%,-65.39%,-12.97%,8.59%
,roe,3.38%,-87.58%,13.72%,40.97%
