Item,Dec 2024,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,100%,85%,85%,85%,85%
FIIs,0%,2.86%,3%,2.73%,3.13%
DIIs,0%,4.42%,7.15%,8.03%,7.84%
Government,0%,0%,0%,0%,0%
Public,0%,7.14%,4.16%,3.73%,3.54%
Others,0%,0.58%,0.69%,0.51%,0.5%
No. of Shareholders,7,2822050,1093840,973763,919561
