Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,4435,4914,5409,5199,4634,5972,6115,6087,6005,6483,7146,5808
Expenses,3885,4010,4572,4520,4198,4856,5284,5309,5159,5783,6520,5351
Operating Profit,549,905,837,679,436,1116,830,778,846,700,626,457
OPM %,12,18,15,13,9,19,14,13,14,11,9,8
Other Income,212,94,350,73,124,649,330,70,225,91,50,31
Interest,29,34,67,33,33,28,14,30,29,26,27,27
Depreciation,213,235,237,235,242,260,265,255,279,306,279,261
Profit before tax,519,729,883,484,284,1476,882,563,763,460,370,200
Tax %,25,26,-7,26,30,26,15,33,-47,12,36,26
Net Profit,388,538,943,360,200,1092,751,375,1119,404,238,147
EPS in Rs,20.65,28.63,50.23,19.15,10.63,58.14,39.99,19.99,59.6,21.52,12.69,7.83
Item,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023 15m,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,13285,14802,15658,13786,16152,22210,19959,21762,25962,25442,,
Expenses,11370,12754,13245,11431,13154,20285,16897,18701,23004,22813,,
Operating Profit,1915,2048,2413,2355,2998,1925,3062,3061,2958,2629,,
OPM %,14,14,15,17,19,9,15,14,11,10,,
Other Income,137,153,332,50,164,196,735,1175,429,398,,
Interest,99,88,86,57,55,77,155,108,112,109,,
Depreciation,644,603,606,639,601,841,885,1001,1118,1125,,
Profit before tax,1310,1510,2053,1709,2506,1203,2757,3127,2157,1794,,
Tax %,29,-1,33,16,26,26,15,23,1,—,,
Net Profit,925,1521,1378,1430,1863,885,2335,2402,2137,1909,,
EPS in Rs,49.23,80.97,73.35,76.16,99.21,47.13,124.34,127.92,113.8,101.64,,
Dividend Payout %,53,17,19,18,59,20,6,6,7,—,,
Item,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,188,188,188,188,188,188,188,188,188,188,,
Reserves,8625,9168,10344,11356,12511,14121,13950,16140,18367,20363,,
Borrowings,0,0,0,0,102,126,153,355,430,429,,
Other Liabilities,4581,5490,5524,5592,5399,6604,6252,6685,6428,6546,,
Total Liabilities,13394,14846,16056,17136,18200,21039,20544,23368,25413,27525,,
Fixed Assets,7568,7280,7088,7027,6694,6750,7512,10007,10829,11256,,
CWIP,261,269,398,446,548,1216,1684,986,2061,2227,,
Investments,117,95,104,116,129,150,163,811,1509,55,,
Other Assets,5448,7202,8466,9547,10828,12923,11185,11564,11013,13987,,
Total Assets,13394,14846,16056,17136,18200,21039,20544,23368,25413,27525,,
Item,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,1390,1554,1118,2255,2219,2835,-1235,2995,1711,-1364,,
Cash from Investing Activity,-533,-379,-364,-321,-535,-988,-4637,-1205,-1262,1273,,
Cash from Financing Activity,-430,-426,-380,-374,-327,-331,-1238,-443,-1002,-422,,
Net Cash Flow,426,750,374,1559,1357,1517,-7110,1347,-553,-513,,
Free Cash Flow,889,1034,620,1760,1471,1682,-3216,1646,-242,-2393,,
CFO/OP,114,93,80,112,124,104,-43,104,59,-55,,
Item,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,18,18,21,15,12,10,14,15,20,54,,
Inventory Days,278,261,263,153,131,162,109,112,85,58,,
Days Payable,286,337,301,198,207,243,110,111,73,80,,
Cash Conversion Cycle,10,-58,-17,-30,-64,-70,13,16,32,32,,
Working Capital Days,-64,-51,-28,-42,-63,-71,36,18,6,71,,
ROCE %,11,16,16,19,16,19,9,17,17,11,,
