Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,33.06%,33.05%,33.04%,33.04%,33.04%,33.03%,33.03%,33.01%,33.01%,33.01%,33.01%,33%
FIIs,10.69%,11.36%,12.09%,12.94%,12.2%,12.47%,11.76%,11.54%,11.4%,10.53%,10.15%,9.46%
DIIs,10.93%,9.68%,10.25%,10.57%,11.11%,10.51%,11.93%,12.2%,12.98%,14%,14.77%,16.89%
Government,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Public,6.85%,6.79%,7.14%,6.28%,6.54%,6.74%,6.53%,6.48%,6.03%,5.95%,5.88%,5.6%
Others,38.48%,39.12%,37.47%,37.16%,37.1%,37.24%,36.75%,36.77%,36.58%,36.51%,36.2%,35.05%
No. of Shareholders,116627,124775,166253,155307,149722,148633,154688,156372,155806,151241,147390,140531
