Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,95.87%,133.66%,89.14%
,ebitda margin growth,119.2%,16.63%,40.94%,-3.69%
,net income growth,208.05%,56.09%,20%,22%
,revenue growth,36.37%,23.1%,11%,21%
,roce,154.96%,30.3%,6.96%,18.36%
,roe,208.17%,33.4%,12.54%,-45.33%
