Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,84.12%,1.63%,59.43%
,ebitda margin growth,8%,6.46%,-20.3%,-34.37%
,net income growth,29.38%,91.14%,16%,32%
,revenue growth,9.33%,42.26%,36%,39%
,roce,10.75%,38.72%,-26.87%,16.47%
,roe,29.32%,67.28%,12.68%,-18.11%
