Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,2000,1546,1256,1191,1622,1717,1230,1450,1823,1850,1547,1622
Expenses,1293,1074,978,939,1143,1190,941,1046,1212,1225,1096,1094
Operating Profit,707,472,278,252,479,528,289,404,612,625,452,528
OPM %,35,31,22,21,30,31,24,28,34,34,29,33
Other Income,24,59,49,29,42,42,54,25,36,-9,244,26
Interest,200,197,200,204,206,203,196,191,188,180,173,164
Depreciation,309,317,303,314,329,320,316,308,317,316,330,314
Profit before tax,222,18,-175,-238,-15,46,-168,-70,142,119,192,76
Tax %,25,27,-26,-25,-18,23,-25,-22,26,20,3,25
Net Profit,166,13,-130,-179,-12,36,-125,-54,106,95,186,56
EPS in Rs,16.95,1.3,-13.2,-18.21,-1.2,3.66,-12.73,-5.5,10.76,9.75,19.01,5.75
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,2334,3086,3414,280,1329,3751,6107,5700,6646,6842,,
Expenses,1933,2499,2338,616,1224,2703,4297,4142,4551,4625,,
Operating Profit,401,587,1076,-336,105,1048,1810,1558,2095,2217,,
OPM %,17,19,32,-120,8,28,30,27,32,32,,
Other Income,30,32,38,469,326,68,157,154,292,297,,
Interest,84,128,482,498,498,572,791,809,733,706,,
Depreciation,154,191,542,575,614,753,1219,1277,1270,1278,,
Profit before tax,194,299,90,-939,-681,-209,-44,-374,384,530,,
Tax %,36,37,70,-20,-28,61,-26,-25,13,—,,
Net Profit,124,189,27,-748,-489,-336,-33,-281,333,444,,
EPS in Rs,24.84,37.81,4.95,-123.07,-80.04,-34.21,-3.26,-28.47,34.02,45.27,,
Dividend Payout %,8,5,75,0,0,0,0,0,0,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,47,47,47,51,61,61,98,98,98,98,,
Reserves,918,1029,1449,1429,1773,1309,7232,7225,6953,7280,,
Borrowings,820,831,1282,1295,5003,5196,8052,8304,7775,6779,,
Other Liabilities,440,442,1062,4653,665,757,1091,1191,1435,1454,,
Total Liabilities,2225,2348,3840,7428,7502,7323,16474,16818,16261,15612,,
Fixed Assets,1509,1590,2742,5886,5475,5407,14209,14478,13906,13373,,
CWIP,106,102,221,155,217,64,247,246,96,32,,
Investments,2,21,11,2,1,0,0,16,1,2,,
Other Assets,609,636,866,1385,1808,1851,2017,2077,2258,2205,,
Total Assets,2225,2348,3840,7428,7502,7323,16474,16818,16261,15612,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,320,446,830,787,-413,167,864,1979,1968,2160,,
Cash from Investing Activity,-632,-363,-1006,-390,-289,-3,-339,-627,-303,-29,,
Cash from Financing Activity,60,-66,142,-211,1075,-217,-694,-1292,-1535,-2065,,
Net Cash Flow,-252,18,-34,186,374,-53,-169,60,130,66,,
Free Cash Flow,-313,108,395,403,-529,42,230,1352,1646,1906,,
CFO/OP,110,122,156,76,125,149,82,108,123,103,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,18,24,22,20,40,22,18,14,16,15,,
Inventory Days,50,45,46,42,354,—,—,—,—,—,,
Days Payable,515,576,562,432,2879,—,—,—,—,—,,
Cash Conversion Cycle,-448,-506,-494,-370,-2485,22,18,14,16,15,,
Working Capital Days,-62,-68,-82,-92,-1122,-315,-152,-106,-125,-101,,
ROCE %,14,15,18,20,-9,-3,3,5,3,7,,
