Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,114.12%,-70.96%,229.06%
,ebitda margin growth,-35.78%,-35.94%,-35.66%,-21.59%
,net income growth,-51.25%,72.93%,58%,101%
,revenue growth,-16.94%,76.15%,40%,30%
,roce,-46.04%,-35.36%,-48.17%,9.45%
,roe,-51.28%,-32.72%,6.45%,57.14%
