Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-4.2%,632.78%,438.23%
,ebitda margin growth,-63.58%,-1.22%,0.96%,21.13%
,net income growth,-68.68%,-4.8%,10%,73%
,revenue growth,3.32%,2.58%,13%,13%
,roce,-12.4%,-10.72%,-12.11%,4.96%
,roe,-68.68%,-15.96%,13.58%,40.07%
