Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,55.38%,47.65%,313.28%
,ebitda margin growth,-4.53%,13.64%,5.21%,33.81%
,net income growth,-4.05%,20.9%,9%,25%
,revenue growth,3.57%,7.01%,4%,12%
,roce,-6.36%,2.91%,-11.39%,19.53%
,roe,-4.05%,0.74%,15.81%,-13.34%
