Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,382,372,404,445,458,501,509,562,568,592,604,671
Expenses,317,302,328,359,372,413,420,464,468,489,503,588
Operating Profit,65,69,76,86,86,88,88,99,100,103,101,83
OPM %,17,19,19,19,19,18,17,18,18,17,17,12
Other Income,1,2,6,6,6,6,5,4,6,4,4,4
Interest,4,5,4,4,4,4,4,3,2,2,3,2
Depreciation,12,14,14,15,16,18,21,20,22,22,23,23
Profit before tax,50,52,63,73,72,73,69,79,82,82,79,61
Tax %,25,26,25,26,26,26,25,26,26,25,26,26
Net Profit,38,39,47,54,54,54,51,59,61,61,58,45
EPS in Rs,6.4,6.15,7.44,8.54,8.46,8.36,7.98,9.44,9.6,9.54,9.35,7.33
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,,
---,---,---,---,---,---,---,---,---,,,,
Sales,654,405,684,1212,1537,1913,2326,2435,,,,
Expenses,578,380,614,1025,1264,1564,1924,2048,,,,
Operating Profit,76,25,70,187,273,349,403,386,,,,
OPM %,12,6,10,15,18,18,17,16,,,,
Other Income,1,5,3,5,10,22,19,18,,,,
Interest,4,7,10,12,17,15,11,9,,,,
Depreciation,25,28,38,41,51,69,88,91,,,,
Profit before tax,48,-5,24,139,214,287,322,304,,,,
Tax %,21,-17,29,26,26,26,26,—,,,,
Net Profit,38,-4,17,103,160,214,240,226,,,,
EPS in Rs,967.52,-184.16,385.5,2572.08,25.23,33.34,37.93,35.82,,,,
Dividend Payout %,0,0,39,10,10,9,10,—,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Equity Capital,0.37,0.37,0.37,0.37,61,61,61,,,,,
Reserves,240,234,247,337,754,942,1159,,,,,
Borrowings,58,97,123,140,172,212,141,,,,,
Other Liabilities,101,90,127,163,204,297,342,,,,,
Total Liabilities,400,421,497,640,1190,1511,1702,,,,,
Fixed Assets,196,191,227,320,498,690,793,,,,,
CWIP,1,3,4,7,25,60,162,,,,,
Investments,0,0,0,2,1,1,2,,,,,
Other Assets,203,228,267,311,665,759,746,,,,,
Total Assets,400,421,497,640,1190,1511,1702,,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Cash from Operating Activity,37,8,51,173,183,183,254,,,,,
Cash from Investing Activity,-55,-16,-34,-136,-458,-140,-149,,,,,
Cash from Financing Activity,17,32,-31,-12,297,-40,-113,,,,,
Net Cash Flow,-1,24,-13,25,22,4,-7,,,,,
Free Cash Flow,-19,-8,16,38,29,-30,-38,,,,,
CFO/OP,70,42,78,111,91,74,84,,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Debtor Days,20,38,26,11,15,26,26,,,,,
Inventory Days,120,179,134,88,92,99,105,,,,,
Days Payable,62,78,69,42,37,37,35,,,,,
Cash Conversion Cycle,78,139,92,57,70,88,96,,,,,
Working Capital Days,22,10,16,2,25,39,44,,,,,
ROCE %,—,0,10,34,31,26,24,,,,,
