Item,Dec 2022,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
FIIs,0%,3.56%,3.79%,4.82%,5.03%,5.24%,10.05%,11.3%,11.48%,10.27%,9.91%
DIIs,0%,5.33%,3.84%,3.17%,3.98%,4.96%,7.2%,6.96%,8.07%,8.3%,8.74%
Government,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Public,0%,11.38%,24.67%,24.32%,26.41%,11.34%,13.51%,13.28%,12.45%,12.57%,12.49%
Others,100%,79.73%,67.7%,67.69%,64.58%,78.45%,69.24%,68.46%,68%,68.87%,68.86%
No. of Shareholders,44,443785,203599,151440,153789,144708,151997,151809,147182,142119,138533
