Item,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,154,149,162,199,208,188,239,243,234
Expenses,41,39,43,55,53,50,61,64,54
Operating Profit,114,109,119,144,155,137,179,179,179
OPM %,74,74,73,72,75,73,75,74,77
Other Income,2,2,8,16,11,1,4,4,4
Interest,48,47,50,48,30,18,20,41,39
Depreciation,31,32,32,37,42,50,56,55,55
Profit before tax,37,32,45,75,95,71,107,87,89
Tax %,29,31,16,15,17,24,17,15,22
Net Profit,26,22,38,64,79,54,89,74,69
EPS in Rs,234.36,0.23,0.38,0.59,0.64,0.49,0.74,0.62,0.6
Item,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,
---,---,---,---,---,---,---,,,
Sales,0,353,562,789,923,904,,,
Expenses,1,124,164,214,237,230,,,
Operating Profit,-1,229,398,575,687,675,,,
OPM %,—,65,71,73,74,75,,,
Other Income,0,3,8,32,37,14,,,
Interest,1,138,171,193,110,119,,,
Depreciation,0,91,114,148,208,216,,,
Profit before tax,-1,3,121,265,406,354,,,
Tax %,0,103,28,15,16,—,,,
Net Profit,-1,0,87,225,342,286,,,
EPS in Rs,-21.37,-0.8,865.4,2.03,2.8,2.45,,,
Dividend Payout %,0,0,38,0,71,—,,,
Item,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,,,,
Equity Capital,0.51,1,1,989,1108,,,,
Reserves,1,952,996,354,3183,,,,
Borrowings,98,2374,3273,4018,3731,,,,
Other Liabilities,2,152,253,1387,400,,,,
Total Liabilities,103,3479,4523,6747,8421,,,,
Fixed Assets,20,3030,3491,5046,6650,,,,
CWIP,8,152,53,167,210,,,,
Investments,0,0,0,0,0,,,,
Other Assets,75,297,980,1534,1560,,,,
Total Assets,103,3479,4523,6747,8421,,,,
Item,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,,,,
Cash from Operating Activity,0,172,337,576,702,,,,
Cash from Investing Activity,-92,-1786,-857,-381,-3077,,,,
Cash from Financing Activity,99,1629,603,385,1956,,,,
Net Cash Flow,7,16,83,581,-419,,,,
Free Cash Flow,-64,-6,-325,441,3,,,,
CFO/OP,-88,77,87,108,106,,,,
Item,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,,,,
Debtor Days,—,72,85,55,74,,,,
Cash Conversion Cycle,—,72,85,55,74,,,,
Working Capital Days,—,29,31,-502,-618,,,,
ROCE %,—,8,8,9,8,,,,
