Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,947,992,1133,1176,1188,1148,1225,1281,1210,1136,1369,1588
Expenses,783,786,895,914,893,854,919,937,846,861,1062,1162
Operating Profit,164,206,238,262,295,294,306,344,364,275,307,426
OPM %,17,21,21,22,25,26,25,27,30,24,22,27
Other Income,13,13,18,9,9,14,26,23,6,-10,3,12
Interest,34,37,34,37,42,42,26,30,33,33,42,26
Depreciation,68,72,81,85,90,91,89,90,91,89,97,102
Profit before tax,75,110,141,149,172,175,217,247,246,143,171,310
Tax %,29,27,28,28,30,28,12,26,27,29,42,29
Net Profit,53,80,101,108,121,126,191,182,179,102,100,219
EPS in Rs,4.82,7.28,9.19,9.83,11.02,11.47,17.39,16.57,16.29,9.29,9.38,20.12
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,3851,2729,2606,2650,3954,5685,4281,4737,4996,5303,,
Expenses,3105,1941,2167,2052,2785,3719,3366,3638,3795,3931,,
Operating Profit,745,788,439,598,1168,1965,915,1100,1201,1372,,
OPM %,19,29,17,23,30,35,21,23,24,26,,
Other Income,112,78,190,199,161,172,100,115,111,11,,
Interest,279,56,105,113,78,117,133,147,138,134,,
Depreciation,299,164,192,202,205,236,286,355,367,379,,
Profit before tax,279,645,332,482,1045,1785,595,713,807,870,,
Tax %,14,-93,43,146,26,26,27,23,29,—,,
Net Profit,240,1246,189,-222,776,1323,435,546,574,600,,
EPS in Rs,—,—,17.87,-19.91,71.66,120.97,39.59,49.71,52.56,55.08,,
Dividend Payout %,15,0,0,0,6,3,8,6,6,—,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Equity Capital,11,11,11,11,11,11,11,11,11,,,
Reserves,4756,3499,3705,3482,4244,5510,5925,7242,7855,,,
Borrowings,2000,968,1718,1591,1556,1515,2096,2080,2721,,,
Other Liabilities,2986,441,634,885,1067,1335,1201,1270,1273,,,
Total Liabilities,9753,4919,6067,5969,6878,8371,9233,10602,11859,,,
Fixed Assets,3813,2305,2414,2367,2514,3111,4264,4285,4822,,,
CWIP,724,229,318,400,680,1158,1128,1568,1900,,,
Investments,524,342,259,88,20,1,1,289,277,,,
Other Assets,4691,2042,3076,3114,3665,4101,3840,4460,4860,,,
Total Assets,9753,4919,6067,5969,6878,8371,9233,10602,11859,,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Cash from Operating Activity,952,782,546,616,741,739,626,545,961,,,
Cash from Investing Activity,589,-428,-1152,-373,-584,-476,-966,-1121,-1168,,,
Cash from Financing Activity,-1668,110,622,-248,-144,-264,348,599,367,,,
Net Cash Flow,-127,464,17,-5,14,-2,7,24,160,,,
Free Cash Flow,-64,276,-650,343,92,12,-330,-335,-292,,,
CFO/OP,157,101,136,80,83,62,90,67,101,,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Debtor Days,184,77,79,92,72,71,72,92,94,,,
Inventory Days,736,351,390,404,314,375,435,487,453,,,
Days Payable,471,127,176,202,170,174,144,162,129,,,
Cash Conversion Cycle,449,301,293,294,216,272,363,418,417,,,
Working Capital Days,67,22,0,6,33,62,60,97,92,,,
ROCE %,—,11,9,11,20,30,10,10,10,,,
