Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,5821,6176,6629,6535,6851,7112,7634,7386,7849,8172,8489,8778
Expenses,2827,2581,4047,2736,3189,2849,3150,2713,2697,3430,3102,3989
Financing Profit,-481,-183,-1284,-295,-652,-60,-27,33,362,-132,368,-301
Financing Margin %,-8,-3,-19,-5,-10,-1,0,0,5,-2,4,-3
Other Income,1114,1262,2477,1033,1633,1298,1581,1481,1365,1499,1291,2160
Interest,3475,3778,3866,4094,4313,4323,4511,4639,4790,4874,5019,5090
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,633,1079,1193,738,982,1237,1554,1514,1728,1367,1659,1859
Tax %,1,33,32,14,21,29,32,27,29,0,9,11
Net Profit,625,723,808,633,777,874,1051,1111,1226,1365,1505,1659
EPS in Rs,0.33,0.38,0.43,0.33,0.41,0.46,0.55,0.58,0.64,0.71,0.78,0.86
Gross NPA %,4.74,3.9,3.1,2.89,2.72,2.55,2.14,1.97,1.83,1.54,1.42,1.33
Net NPA %,0.68,0.62,0.57,0.51,0.47,0.42,0.37,0.32,0.28,0.24,0.21,0.18
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,17915,17631,17406,16966,16730,19400,24050,28131,31896,33288,,
Expenses,17573,15142,16706,10360,9263,9756,11737,11529,11421,13218,,
Financing Profit,-12106,-9863,-11404,-4461,-2952,-1501,-1908,-639,1153,297,,
Financing Margin %,-68,-56,-66,-26,-18,-8,-8,-2,4,1,,
Other Income,3746,4206,3360,5559,4903,4109,5656,5545,5636,6316,,
Interest,12448,12352,12103,11067,10419,11145,14220,17241,19322,19773,,
Depreciation,272,304,301,258,172,260,336,394,521,0,,
Profit before tax,-8632,-5961,-8344,840,1779,2348,3413,4512,6268,6613,,
Tax %,-27,-37,2,1,4,11,22,26,17,—,,
Net Profit,-6299,-3738,-8527,831,1710,2099,2656,3335,5208,5756,,
EPS in Rs,-12.88,-4.09,-5.19,0.51,0.9,1.11,1.4,1.73,2.7,2.99,,
Dividend Payout %,0,0,0,0,0,0,0,0,0,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,2455,4891,9142,16437,16437,18902,18902,18902,19257,19257,,
Reserves,11290,8383,7218,-282,508,4098,6361,9040,13284,18259,,
Borrowing,16098,9228,6146,5420,3672,3071,20804,30387,42228,51603,,
Deposits,211343,216832,222534,222952,240288,262159,260883,285905,311204,368191,,
Other Liabilities,5983,8634,4968,16200,13106,11147,6784,7799,9044,16011,,
Total Liabilities,247167,247968,250008,260727,274010,299377,313734,352034,395017,473320,,
Fixed Assets,3002,2838,3321,3124,2918,3365,3710,3725,4581,5007,,
CWIP,53,56,16,3,1,0,0,14,74,67,,
Investments,71654,68646,66932,79416,95494,98179,94170,99632,111045,119810,,
Other Assets,172459,176429,179739,178183,175597,197833,215854,248662,279317,348436,,
Total Assets,247167,247968,250008,260727,274010,299377,313734,352034,395017,473320,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,-505,-1999,-786,-14023,4949,5566,-15595,-1165,2771,5502,,
Cash from Investing Activity,-135,-110,-647,-85,-46,-48,-559,-359,-565,-639,,
Cash from Financing Activity,1617,5430,5780,7277,1813,479,-12,-528,310,-710,,
Net Cash Flow,977,3322,4347,-6831,6716,5997,-16166,-2052,2516,4152,,
Free Cash Flow,-640,-2108,-1433,-14108,4903,5518,-16155,-1525,2205,4863,,
CFO/OP,-1,-182,5,-1933,77,85,-158,-5,5,30,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,-23,-47,-26,-52,5,9,9,10,11,15,,
