Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-8.67%,163.56%,141.73%
,ebitda margin growth,-46.81%,-158.39%,-128.11%,—
,net income growth,-87.11%,-102.47%,-103.76%,468%
,revenue growth,-5.13%,60.1%,63.03%,—
,roce,—,-124.41%,-141.79%,-3.85%
,roe,—,-102.49%,-9.24%,-97.96%
