Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,11.79%,-6.74%,21.65%
,ebitda margin growth,5.48%,23.42%,7.54%,0.61%
,net income growth,13.35%,—,-3%,101%
,revenue growth,-5.35%,9.51%,2%,9%
,roce,10.23%,56.3%,15.3%,3.8%
,roe,13.37%,—,1.8%,877.78%
