Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,105129,110577,119033,107102,83656,94472,98377,87677,72349,70108,105447,95799
Expenses,91362,95159,102348,91854,73742,84070,83990,79515,73753,69229,94188,89623
Operating Profit,13767,15418,16685,15248,9914,10402,14387,8162,-1404,879,11259,6176
OPM %,13,14,14,14,12,11,15,9,-1.9,1.2,11,6
Other Income,1557,1604,1412,6553,1920,2730,2361,2690,81507,39,1877,1113
Interest,2652,2485,1645,1471,1094,843,828,692,686,682,767,835
Depreciation,6637,6850,7143,6565,5467,4863,4717,4851,4871,4969,5092,4880
Profit before tax,6035,7687,9309,13765,5273,7426,11203,5309,74546,-4733,7277,1574
Tax %,36,7,-88,23,33,26,24,25,-2,-26,19,45
Net Profit,3832,7145,17528,10587,3521,5484,8556,4003,76248,-3483,5878,859
EPS in Rs,11.33,21.14,52.37,31.63,9.36,14.69,23.01,10.66,206.85,-9.47,15.7,2.1
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,291550,301938,261068,249795,278454,345967,434016,366094,335582,343703,,
Expenses,260093,277274,243081,217507,253734,314151,376207,318101,316863,326793,,
Operating Profit,31458,24664,17987,32287,24720,31816,57809,47993,18719,16910,,
OPM %,11,8,7,13,9,9,13,13,6,4.9,,
Other Income,5933,-26686,102,-11118,2424,6664,4807,14219,86291,84536,,
Interest,4682,5759,7243,8097,9312,10225,7594,3901,2827,2970,,
Depreciation,21554,23591,21425,23547,24836,24860,27239,21102,19784,19812,,
Profit before tax,11155,-31371,-10580,-10474,-7003,3394,27783,37209,82399,78664,,
Tax %,39,-8,4,24,60,21,-14,24,0,—,,
Net Profit,9091,-28724,-11975,-13395,-11309,2690,31807,28149,82645,79502,,
EPS in Rs,31.13,-99.84,-39.08,-40.51,-34.45,7.27,94.47,75.6,223.74,215.18,,
Dividend Payout %,0,0,0,0,0,32,7,8,1,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,679,679,679,720,766,766,766,767,736,737,,
Reserves,57383,94749,59500,62359,54481,43795,44556,84151,115408,111331,,
Borrowings,78604,88950,106175,124788,142131,146449,134113,107264,71540,79109,,
Other Liabilities,135914,142813,139349,132313,144193,138051,155239,177339,189289,188012,,
Total Liabilities,272580,327192,305703,320179,341570,329061,334674,369521,376973,379189,,
Fixed Assets,95944,121414,111234,127107,138708,138855,132080,121285,115697,104656,,
CWIP,33699,40034,31884,35622,20964,10251,14274,35698,65806,102654,,
Investments,20338,20813,15771,16308,24620,29380,26379,22971,35656,26313,,
Other Assets,122600,144932,146814,141141,157278,150575,161941,189567,159814,145566,,
Total Assets,272580,327192,305703,320179,341570,329061,334674,369521,376973,379189,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,30199,23857,18891,26633,29001,14283,35388,67915,63102,13041,,
Cash from Investing Activity,-39571,-25139,-20878,-33115,-25672,-4444,-15417,-22781,-49982,-23166,,
Cash from Financing Activity,6205,2012,8830,3390,9904,-3380,-26243,-37006,-18786,-1344,,
Net Cash Flow,-3167,730,6843,-3092,13232,6459,-6272,8128,-5666,-11469,,
Free Cash Flow,14181,-11191,-16346,-2898,9146,-655,16443,36732,26034,-23195,,
CFO/OP,108,85,87,158,96,66,121,125,140,87,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,19,25,23,16,19,16,17,14,13,14,,
Inventory Days,77,83,73,82,83,71,66,64,78,85,,
Days Payable,138,151,133,145,175,141,128,126,160,158,,
Cash Conversion Cycle,-41,-43,-38,-48,-74,-53,-45,-48,-69,-59,,
Working Capital Days,-69,-71,-78,-92,-112,-88,-63,-55,-75,-81,,
ROCE %,9,9,2,0,6,1,6,19,16,3,,
