Item,Sep 2017,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,100%,83.42%,83.42%,83.42%,83.42%,83.29%,83.29%,71.4%
FIIs,0%,5.54%,4.74%,5.76%,5.57%,4.04%,3.6%,4.39%
DIIs,0%,6.97%,7.09%,6.61%,6.39%,6.87%,7.05%,19.1%
Government,0%,0%,0%,0%,0%,0%,0%,0%
Public,0%,3.67%,4.23%,3.77%,4.04%,4.62%,4.29%,3.35%
Others,0%,0.41%,0.52%,0.45%,0.58%,1.19%,1.76%,1.77%
No. of Shareholders,7,199394,215043,197223,177167,184159,164635,148693
