Item,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,100%,88.75%,88.75%,88.75%,88.7%,88.7%,86.7%,86.7%,86.7%
FIIs,0%,1.67%,1.11%,1.12%,1.04%,0.9%,0.94%,0.98%,0.9%
DIIs,0%,1.83%,0.82%,0.72%,0.6%,0.54%,1.39%,1.18%,1.01%
Government,0%,0.11%,0%,0%,0%,0%,0%,0%,0%
Public,0%,7.01%,8.6%,8.62%,8.69%,8.87%,9.83%,9.98%,10.16%
Others,0%,0.63%,0.72%,0.79%,0.96%,0.99%,1.14%,1.15%,1.23%
No. of Shareholders,7,1734270,2645570,2605370,2510340,2445280,2428410,2364070,2315860
