Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,12.19%,15.94%,-423.36%
,ebitda margin growth,8.59%,-2.86%,-1.12%,9.09%
,net income growth,10.05%,15.71%,24%,24%
,revenue growth,6.6%,18.28%,29%,23%
,roce,8.66%,-3.26%,-1.96%,9.47%
,roe,10.05%,-7.97%,17.03%,-1.7%
