Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,121.01%,7.02%,209.89%
,ebitda margin growth,-80.88%,98.46%,1.18%,22.91%
,net income growth,-107.52%,216.76%,62%,14%
,revenue growth,26.97%,3.54%,-2%,17%
,roce,-96.32%,117.21%,-15.44%,16.39%
,roe,-107.52%,168.28%,16.51%,1.73%
