Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,462,327,440,375,441,636,816,526,843,872,1010,630
Expenses,385,270,385,323,371,546,689,434,732,746,878,531
Operating Profit,78,56,54,52,70,90,127,92,111,126,132,100
OPM %,17,17,12,14,16,14,16,18,13,14,13,16
Other Income,29,45,31,68,39,44,53,73,38,32,32,29
Interest,4,4,4,2,2,3,4,3,7,4,6,4
Depreciation,2,2,2,2,2,2,2,2,2,9,3,6
Profit before tax,101,95,79,117,105,129,174,161,140,144,155,118
Tax %,27,4,2,16,11,26,23,16,26,17,26,21
Net Profit,74,92,78,98,94,96,135,136,104,119,115,93
EPS in Rs,6.86,8.54,7.21,9.12,8.1,8.25,11.58,11.7,8.94,10.25,9.85,8.02
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,1283,986,871,884,999,830,1502,2269,3252,3356,,
Expenses,988,736,654,668,840,742,1292,1929,2789,2887,,
Operating Profit,295,250,217,216,159,87,210,339,462,469,,
OPM %,23,25,25,24,16,11,14,15,14,14,,
Other Income,42,73,48,67,175,165,134,205,175,130,,
Interest,25,13,7,9,7,11,17,11,20,21,,
Depreciation,42,42,42,41,7,8,8,8,17,21,,
Profit before tax,271,268,216,232,319,233,319,525,600,557,,
Tax %,24,28,17,22,19,20,16,20,21,—,,
Net Profit,206,193,179,182,264,187,268,423,474,431,,
EPS in Rs,2.31,17.16,16.28,16.53,23.99,17.36,24.95,36.37,40.75,37.06,,
Dividend Payout %,0,0,0,61,8,35,28,25,17,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,178,23,23,22,22,22,22,22,23,23,,
Reserves,484,1209,1404,1474,1594,1815,1909,2142,3716,4134,,
Borrowings,273,67,44,0,40,0,0,0,39,72,,
Other Liabilities,32,621,547,583,546,679,839,658,1265,1692,,
Total Liabilities,967,1920,2017,2079,2203,2516,2769,2821,5044,5921,,
Fixed Assets,616,585,546,508,467,459,81,76,70,510,,
CWIP,0,0,0,0,0,0,95,276,442,72,,
Investments,209,450,581,691,714,1049,1305,1142,2836,2258,,
Other Assets,141,885,891,881,1022,1008,1288,1327,1696,3082,,
Total Assets,967,1920,2017,2079,2203,2516,2769,2821,5044,5921,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,160,212,198,112,125,259,93,-198,453,-590,,
Cash from Investing Activity,-158,142,-171,38,-54,-224,13,269,-1630,703,,
Cash from Financing Activity,-55,-326,-16,-161,-34,-64,-103,-85,1175,-92,,
Net Cash Flow,-54,28,10,-11,37,-28,3,-14,-2,21,,
Free Cash Flow,116,211,195,111,125,226,28,-379,285,-657,,
CFO/OP,150,91,106,79,74,205,235,-60,158,-97,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,230,216,202,240,219,213,282,180,108,137,,
Inventory Days,—,3,—,—,—,13,59,8,0,0,,
Days Payable,—,185,—,—,—,205,303,173,—,—,,
Cash Conversion Cycle,230,34,202,240,219,22,38,15,108,137,,
Working Capital Days,161,88,151,159,189,188,239,143,91,183,,
ROCE %,—,26,20,13,12,18,8,17,17,15,,
