Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,13764,14203,14633,15041,15369,15770,15860,16285,16628,17102,17488,18095
Expenses,5150,5158,5378,4994,5144,5102,5097,4880,5108,5492,5811,5946
Financing Profit,611,661,646,1186,1072,1323,1295,1481,1480,1407,1305,1492
Financing Margin %,4,5,4,8,7,8,8,9,9,8,7,8
Other Income,2166,2113,2432,2077,2602,2397,2935,1854,2643,2793,2773,2902
Interest,8003,8383,8609,8861,9154,9345,9467,9924,10040,10203,10372,10657
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,2777,2774,3078,3263,3674,3721,4230,3335,4123,4199,4078,4394
Tax %,28,23,27,26,25,23,30,33,26,27,24,25
Net Profit,2069,2207,2296,2571,2801,2910,2982,2277,3109,3148,3174,3357
EPS in Rs,16.61,16.37,17.04,19.08,20.79,21.6,22.14,16.9,23.07,23.36,23.56,24.92
Gross NPA %,4.97,4.47,3.95,3.77,3.48,3.26,3.09,3.01,2.6,2.23,1.98,1.86
Net NPA %,0.6,0.53,0.43,0.39,0.27,0.21,0.19,0.18,0.16,0.15,0.15,0.15
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,17115,19182,21401,39108,38888,44985,55650,62039,67504,69314,,
Expenses,6998,8289,9238,18029,20285,21577,20342,19818,20710,22358,,
Financing Profit,-734,-1273,-1634,-2360,-3526,-1309,2967,5395,6255,5684,,
Financing Margin %,-4,-7,-8,-6,-9,-3,5,9,9,8,,
Other Income,2417,1891,3326,6111,7380,7804,8582,10011,10829,11110,,
Interest,10851,12167,13798,23439,22129,24717,32341,36826,40539,41271,,
Depreciation,237,259,314,637,601,532,531,543,609,0,,
Profit before tax,1445,359,1377,3115,3253,5963,11017,14864,16475,16795,,
Tax %,13,11,45,3,-23,11,26,26,26,—,,
Net Profit,1311,381,862,3151,4144,5574,8423,11264,11707,12787,,
EPS in Rs,27.29,7.91,14.15,27.88,33.26,44.74,62.51,83.61,86.89,94.91,,
Dividend Payout %,0,0,0,7,20,19,19,19,21,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,480,480,480,609,1129,1245,1245,1347,1347,1347,,
Reserves,16954,18235,19235,22159,38329,43706,48261,58901,70166,78696,,
Borrowing,12637,19760,12138,20830,24763,17218,22092,23143,41552,46807,,
Deposits,182480,208262,242041,260184,538030,593571,621123,687953,737098,827654,,
Other Liabilities,5957,6244,6494,6359,23285,18356,20612,24365,26875,37049,,
Total Liabilities,218507,252981,280388,310141,625535,674096,713334,795709,877039,991553,,
Fixed Assets,3436,3421,3964,3898,7392,7694,7472,7538,8854,8674,,
CWIP,11,1,1,1,0,5,9,2,3,3,,
Investments,67781,71619,65272,81871,178292,176502,188366,215242,228421,247682,,
Other Assets,147280,177940,211152,224371,439850,489896,517487,572927,639760,735194,,
Total Assets,218507,252981,280388,310141,625535,674096,713334,795709,877039,991553,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,-10814,-3676,6270,-8396,17065,28750,-27894,-8617,17396,18815,,
Cash from Investing Activity,-179,-214,-176,-247,21233,-305,-314,-618,-348,-428,,
Cash from Financing Activity,9041,6776,1000,2552,1866,18,-1543,1195,-4264,-7649,,
Net Cash Flow,-1952,2886,7094,-6091,40163,28464,-29751,-8040,12784,10738,,
Free Cash Flow,-10993,-3890,6021,-8644,16520,28446,-28208,-9235,17048,18387,,
CFO/OP,-109,-36,58,-69,81,155,-119,-24,41,40,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,9,7,2,4,10,10,12,15,17,15,,
