Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,7.38%,15.87%,-438.84%
,ebitda margin growth,5.67%,-2.9%,-5.05%,-3.89%
,net income growth,0.67%,22.74%,25%,28%
,revenue growth,4.59%,20.59%,34%,27%
,roce,5.68%,-1.56%,0.53%,9.63%
,roe,0.67%,-4.61%,17.53%,-6.38%
