Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,381,399,565,494,518,328,731,516,718,687,1156,936
Expenses,260,293,340,305,366,220,465,304,436,347,528,429
Operating Profit,121,107,226,188,152,108,267,212,282,340,628,508
OPM %,32,27,40,38,29,33,36,41,39,50,54,54
Other Income,11,10,20,7,32,16,47,10,11,-78,33,17
Interest,4,4,4,3,1,1,2,2,0,2,1,3
Depreciation,46,30,59,38,48,38,52,41,44,48,67,50
Profit before tax,83,82,183,154,135,84,260,179,249,213,592,472
Tax %,27,23,32,26,25,26,27,25,25,26,25,25
Net Profit,61,63,124,113,102,63,191,134,186,156,444,353
EPS in Rs,0.63,0.65,1.29,1.17,1.05,0.65,1.97,1.39,1.92,1.62,4.59,3.65
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,1670,1816,832,1787,1822,1677,1717,2071,3078,3498,,
Expenses,1399,1310,1074,1376,1310,1185,1170,1332,1615,1740,,
Operating Profit,271,506,-242,411,512,492,547,738,1463,1758,,
OPM %,16,28,-29,23,28,29,32,36,48,50,,
Other Income,41,37,57,35,50,96,54,78,-24,-17,,
Interest,26,60,62,64,30,17,17,8,6,6,,
Depreciation,165,253,291,295,150,175,175,176,200,209,,
Profit before tax,122,230,-538,87,382,396,410,634,1233,1525,,
Tax %,35,37,6,-26,2,25,28,26,25,—,,
Net Profit,80,146,-569,110,374,295,295,469,921,1139,,
EPS in Rs,0.86,1.57,-6.15,1.19,3.87,3.05,3.05,4.85,9.52,11.78,,
Dividend Payout %,29,33,0,29,30,30,30,30,30,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,463,463,463,463,463,484,484,484,484,484,,
Reserves,1004,1065,1174,498,627,1428,1599,1802,2181,2864,,
Borrowings,472,657,1070,1564,1137,409,156,223,167,111,,
Other Liabilities,597,630,636,802,819,844,956,971,880,1179,,
Total Liabilities,2536,2814,3344,3326,3046,3164,3194,3479,3711,4638,,
Fixed Assets,354,332,316,337,322,282,1326,1430,1731,1922,,
CWIP,279,660,1022,1232,1179,683,731,917,766,741,,
Investments,0,0,0,0,1,1,10,29,31,31,,
Other Assets,1903,1822,2005,1757,1544,2199,1127,1102,1183,1944,,
Total Assets,2536,2814,3344,3326,3046,3164,3194,3479,3711,4638,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,-260,372,252,86,832,1052,674,341,544,1474,,
Cash from Investing Activity,-258,-558,-587,-430,-364,-404,-337,-525,-402,-434,,
Cash from Financing Activity,-8,-96,445,42,133,-251,-339,-39,-152,-299,,
Net Cash Flow,-526,-282,110,-302,601,397,-3,-222,-10,741,,
Free Cash Flow,-352,-25,-147,-135,629,829,574,-193,132,1019,,
CFO/OP,-109,141,61,-54,202,225,153,82,95,118,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,50,18,73,36,34,16,14,29,30,16,,
Inventory Days,—,737,1189,—,413,—,—,—,—,—,,
Days Payable,—,204,358,—,147,—,—,—,—,—,,
Cash Conversion Cycle,50,550,903,36,301,16,14,29,30,16,,
Working Capital Days,162,23,69,-96,18,-19,-29,35,56,-2,,
ROCE %,6,7,12,-18,6,18,18,18,24,42,,
