Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-11.5%,-92.72%,-243.64%
,ebitda margin growth,-2.19%,2.47%,6.43%,12.65%
,net income growth,-15.02%,18.34%,30%,20%
,revenue growth,4.3%,10.58%,9%,2%
,roce,-2.08%,-2.7%,-3.53%,8.8%
,roe,-15.01%,3.83%,11.16%,40.73%
