Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,410,436,453,459,483,493,502,510,534,543,600,610
Expenses,273,293,308,307,318,331,334,332,345,353,396,397
Operating Profit,137,142,145,152,165,162,168,178,189,190,204,213
OPM %,34,33,32,33,34,33,33,35,35,35,34,35
Other Income,21,17,17,19,21,31,26,23,30,34,28,34
Interest,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,12,14,16,16,17,16,17,16,18,19,19,22
Profit before tax,146,145,146,154,168,177,177,184,201,204,213,225
Tax %,20,18,17,19,22,21,18,18,20,19,19,20
Net Profit,116,120,121,125,131,140,145,151,160,166,173,179
EPS in Rs,15.13,15.43,16.01,16.31,17.21,18.28,18.76,20.1,20.32,21.56,22.38,23.27
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,540,649,863,1061,1269,1467,1694,1937,2187,2287,,
Expenses,345,417,603,732,874,1025,1142,1287,1422,1491,,
Operating Profit,195,232,260,329,395,442,552,651,765,797,,
OPM %,36,36,30,31,31,30,33,34,35,35,,
Other Income,13,19,41,23,38,55,66,92,111,126,,
Interest,1,1,0,2,1,1,1,1,1,1,,
Depreciation,19,23,32,37,47,45,53,66,73,78,,
Profit before tax,188,227,269,314,386,451,564,677,803,844,,
Tax %,23,22,20,20,20,16,18,20,19,—,,
Net Profit,145,177,215,251,308,377,461,541,650,678,,
EPS in Rs,19.15,23.35,28.42,32.03,39.56,49.57,60.19,70.56,84.36,87.53,,
Dividend Payout %,10,9,9,9,10,9,8,8,9,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,15,15,15,15,15,15,15,15,15,15,,
Reserves,210,349,582,858,954,1252,1649,2084,2619,3355,,
Borrowings,1,1,36,113,235,219,222,219,222,221,,
Other Liabilities,133,136,109,139,159,250,305,380,352,446,,
Total Liabilities,358,500,743,1126,1364,1736,2191,2698,3208,4038,,
Fixed Assets,152,169,227,272,305,287,280,453,546,580,,
CWIP,3,15,10,20,14,18,221,117,144,234,,
Investments,17,47,70,61,11,89,281,376,590,859,,
Other Assets,186,269,436,772,1033,1343,1410,1753,1928,2365,,
Total Assets,358,500,743,1126,1364,1736,2191,2698,3208,4038,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,68,66,83,45,269,337,271,318,432,523,,
Cash from Investing Activity,-36,-69,-100,-54,-30,-377,-216,-319,-333,-582,,
Cash from Financing Activity,-7,-12,90,80,-24,-41,-28,-38,-38,-46,,
Net Cash Flow,25,-14,73,70,215,-81,27,-39,61,-105,,
Free Cash Flow,43,18,18,-32,195,246,78,173,241,275,,
CFO/OP,73,53,54,38,102,106,81,77,86,87,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,30,85,90,97,96,91,98,117,119,138,,
Inventory Days,44,44,47,210,139,149,159,183,159,181,,
Days Payable,155,144,76,57,68,102,84,116,103,125,,
Cash Conversion Cycle,-81,-16,61,251,166,138,173,184,175,194,,
Working Capital Days,-29,47,104,167,145,165,144,166,174,199,,
ROCE %,68,63,45,33,28,28,26,26,26,24,,
