Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,848,940,1096,1010,1001,1182,1283,1224,1266,1350,1522,1445
Expenses,396,460,515,495,481,596,642,643,656,706,753,771
Operating Profit,452,480,581,515,521,586,641,581,610,644,769,674
OPM %,53,51,53,51,52,50,50,47,48,48,51,47
Other Income,47,78,104,94,87,83,89,90,107,52,17,57
Interest,71,143,134,82,-80,256,8,55,105,93,130,102
Depreciation,101,108,134,135,134,138,140,143,149,164,158,166
Profit before tax,328,307,417,392,554,276,581,473,463,439,498,463
Tax %,22,17,21,24,33,-22,11,18,20,17,15,23
Net Profit,256,254,329,297,374,336,516,390,369,365,424,358
EPS in Rs,1.21,1.19,1.57,1.39,1.77,1.57,2.43,1.83,1.72,1.71,1.99,1.49
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,998,1080,1143,1604,2273,3195,3763,4476,5361,5582,,
Expenses,410,550,524,787,1164,1572,1795,2214,2757,2886,,
Operating Profit,588,530,619,816,1109,1623,1968,2262,2604,2696,,
OPM %,59,49,54,51,49,51,52,51,49,48,,
Other Income,77,101,94,75,106,176,266,353,266,233,,
Interest,130,177,277,228,420,596,332,266,383,430,,
Depreciation,157,171,202,271,370,391,436,547,614,636,,
Profit before tax,377,284,234,393,426,811,1465,1803,1873,1863,,
Tax %,26,4,16,28,22,8,21,16,17,—,,
Net Profit,281,272,197,285,330,750,1161,1521,1547,1515,,
EPS in Rs,44.09,43.93,31.37,48,54.02,3.97,5.5,7.16,7.25,6.91,,
Dividend Payout %,0,0,0,0,0,0,10,11,12,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,56,60,60,60,60,60,360,410,415,417,,
Reserves,1798,2553,2827,2488,2831,3212,3635,7616,9282,10460,,
Borrowings,1599,1732,2051,3103,3946,4740,4568,4758,5042,6899,,
Other Liabilities,628,840,762,1085,1286,1165,750,909,2068,2439,,
Total Liabilities,4082,5185,5701,6736,8123,9177,9312,13694,16807,20215,,
Fixed Assets,2730,3186,3256,3948,4924,6134,5975,7757,9523,10527,,
CWIP,380,633,862,752,1125,80,46,132,2020,3188,,
Investments,95,28,230,376,296,283,307,244,183,25,,
Other Assets,877,1338,1352,1660,1779,2681,2985,5560,5081,6474,,
Total Assets,4082,5185,5701,6736,8123,9177,9312,13694,16807,20215,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,616,600,328,259,990,1176,1797,1803,2100,2022,,
Cash from Investing Activity,-1052,-1098,-495,-378,-1637,-801,-883,-4202,-1691,-2062,,
Cash from Financing Activity,387,540,140,226,641,3,-825,2504,-521,227,,
Net Cash Flow,-49,41,-27,107,-6,377,90,105,-112,186,,
Free Cash Flow,-424,-338,-24,-400,-602,669,1528,1555,26,-467,,
CFO/OP,137,119,67,48,129,117,122,104,105,91,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,82,108,104,160,94,97,46,66,66,72,,
Cash Conversion Cycle,82,108,104,160,94,97,46,66,66,72,,
Working Capital Days,-169,-27,181,122,52,63,16,34,10,11,,
ROCE %,—,12,9,9,10,11,17,16,14,14,,
