Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,7.5%,20.99%,73.62%
,ebitda margin growth,11.28%,2.52%,-1.54%,10.25%
,net income growth,12.66%,18.35%,5%,12%
,revenue growth,5.87%,10.53%,6%,18%
,roce,15.36%,5.4%,-2.13%,8.95%
,roe,12.66%,10%,8.43%,18.28%
