Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,295,305,315,331,348,354,355,372,391,402,404,414
Expenses,226,227,238,223,226,230,236,253,275,282,284,282
Operating Profit,69,78,77,108,122,124,119,119,116,120,120,132
OPM %,23,26,24,33,35,35,34,32,30,30,30,32
Other Income,35,42,77,53,66,45,109,92,10,135,-34,107
Interest,2,2,2,2,2,2,2,1,1,1,1,0
Depreciation,8,8,13,8,8,8,8,7,7,7,7,6
Profit before tax,93,110,139,151,177,159,218,204,119,247,78,232
Tax %,26,25,28,25,24,24,17,25,30,24,36,26
Net Profit,69,82,100,114,135,121,181,154,83,188,50,172
EPS in Rs,11.57,13.65,16.61,19.01,22.52,20.16,30.08,25.57,13.78,31.34,8.35,28.63
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,411,507,639,670,753,985,1197,1388,1569,1611,,
Expenses,487,490,472,344,458,755,906,915,1094,1124,,
Operating Profit,-76,17,167,326,296,230,291,474,475,488,,
OPM %,-19,3.4,26,49,39,23,24,34,30,30,,
Other Income,19,41,69,87,112,181,209,272,204,218,,
Interest,0,0,3,7,5,8,9,7,3,2,,
Depreciation,3,4,21,16,12,31,36,33,28,28,,
Profit before tax,-60,54,211,389,390,371,454,706,648,676,,
Tax %,-191,63,30,28,24,24,26,22,27,—,,
Net Profit,55,20,147,280,298,284,334,551,475,493,,
EPS in Rs,27.38,3.5,25.5,46.09,48.71,46.38,55.68,91.73,79,82.1,,
Dividend Payout %,0,0,20,16,2,22,36,54,76,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,9,10,29,29,30,31,31,60,60,60,,
Reserves,-399,-331,131,246,1581,1844,2028,1676,2125,2340,,
Borrowings,0,0,0,77,63,56,46,41,33,23,,
Other Liabilities,611,864,661,771,837,1019,1338,1672,1912,2201,,
Total Liabilities,221,543,821,1123,2511,2949,3442,3449,4130,4625,,
Fixed Assets,9,8,9,86,65,56,553,536,515,494,,
CWIP,0,0,0,0,0,0,0,0,0,0,,
Investments,136,311,607,901,2254,2722,2784,2746,3453,3792,,
Other Assets,76,223,204,136,192,171,106,166,161,338,,
Total Assets,221,543,821,1123,2511,2949,3442,3449,4130,4625,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,-1,179,255,261,322,402,476,559,623,694,,
Cash from Investing Activity,-8,-165,-276,-233,-1338,-335,-324,162,-486,-347,,
Cash from Financing Activity,7,15,14,-51,1038,-58,-143,-695,-148,-340,,
Net Cash Flow,-1,29,-7,-23,23,9,9,27,-11,7,,
Free Cash Flow,-3,177,250,256,323,398,460,545,615,687,,
CFO/OP,-1,-236,1524,167,117,169,240,224,164,179,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,1,1,0,1,1,1,3,1,1,1,,
Cash Conversion Cycle,1,1,0,1,1,1,3,1,1,1,,
Working Capital Days,-243,-260,-277,-266,-246,-289,-305,-311,-305,-301,,
ROCE %,—,—,—,84,39,22,19,24,34,28,,
