Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,7497,9614,9147,8120,7247,8337,8808,7929,8394,8330,9293,12503
Expenses,4027,6171,5886,4978,4711,5795,6220,5578,6091,6043,6012,6711
Operating Profit,3469,3443,3261,3142,2536,2542,2588,2351,2303,2287,3281,5793
OPM %,46,36,36,39,35,30,29,30,27,27,35,46
Other Income,-1983,635,578,355,977,302,382,980,721,657,919,530
Interest,279,236,234,242,280,304,244,199,305,319,381,302
Depreciation,499,576,576,553,608,624,533,627,671,715,699,698
Profit before tax,708,3266,3028,2701,2626,1917,2193,2505,2048,1910,3119,5322
Tax %,10,20,23,25,21,24,32,18,20,25,22,24
Net Profit,640,2608,2333,2016,2069,1457,1497,2047,1644,1436,2424,4027
EPS in Rs,2.59,14.43,13.16,11.59,12.4,8.23,8.05,11.66,8.78,7.35,12.91,22.32
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,10698,13780,18612,17616,25906,36084,31749,31703,33081,38521,,
Expenses,6770,8190,13297,11928,15405,20829,19245,20546,22636,24857,,
Operating Profit,3928,5591,5315,5689,10500,15255,12504,11158,10446,13664,,
OPM %,37,41,29,32,41,42,39,35,32,35,,
Other Income,1812,1251,2147,1185,1254,737,-566,1666,3053,2826,,
Interest,554,624,647,660,940,901,964,1069,1204,1307,,
Depreciation,1327,1541,1786,1844,1824,1947,2129,2318,2712,2783,,
Profit before tax,3859,4677,5030,4369,8990,13144,8846,9436,9582,12399,,
Tax %,29,31,0,5,25,25,21,25,21,—,,
Net Profit,2735,3238,5005,4146,6719,9854,6980,7040,7551,9531,,
EPS in Rs,16.06,19.91,28.9,21.69,34.56,53.66,38.95,40.27,40.7,51.36,,
Dividend Payout %,42,34,24,15,27,25,25,29,28,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,802,757,1084,1084,1084,1084,1084,1084,1627,1627,,
Reserves,28718,28273,27890,22126,22582,29478,37397,47255,48141,56372,,
Borrowings,14184,12329,15114,12743,19718,16721,18832,24040,30645,37478,,
Other Liabilities,7600,7353,8430,20981,12151,13846,16866,20114,24410,28768,,
Total Liabilities,51303,48712,52518,56936,55535,61129,74179,92494,104823,124245,,
Fixed Assets,10550,12320,12471,15955,15969,16805,18098,20520,23649,28271,,
CWIP,1894,988,1267,2368,3171,5900,11953,20028,29527,37644,,
Investments,27461,26657,26451,25718,24010,27099,27924,34450,31613,36782,,
Other Assets,11398,8747,12329,12894,12385,11325,16204,17496,20034,21548,,
Total Assets,51303,48712,52518,56936,55535,61129,74179,92494,104823,124245,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,3114,3933,5023,6493,5235,9310,11410,10933,11332,10684,,
Cash from Investing Activity,-5865,1778,-578,-2207,-8517,-4192,-9130,-12601,-13514,-10381,,
Cash from Financing Activity,2758,-5698,-940,-7331,3702,-5615,-2521,1637,2483,409,,
Net Cash Flow,7,12,3504,-3045,420,-498,-241,-30,301,711,,
Free Cash Flow,248,1267,2523,3187,2108,3342,2886,-1130,1749,2126,,
CFO/OP,119,111,108,139,93,99,97,109,120,125,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,39,48,35,29,38,25,24,38,38,50,,
Inventory Days,—,—,—,333,350,286,244,238,264,323,,
Days Payable,—,—,—,105,140,115,83,84,112,184,,
Cash Conversion Cycle,39,48,35,257,249,196,185,192,190,188,,
Working Capital Days,-168,10,-77,-141,-45,21,24,-48,-46,-45,,
ROCE %,10,10,15,15,13,21,25,18,13,12,,
