Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-14.98%,-4.86%,48.24%
,ebitda margin growth,-0.27%,-12.06%,-8.77%,-2.23%
,net income growth,-4.49%,4.92%,19%,24%
,revenue growth,3.51%,24.19%,19%,24%
,roce,-1.37%,-4.19%,-39.12%,18.04%
,roe,-4.47%,-3.39%,13.12%,-43.22%
