Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-13.57%,20.89%,33.4%
,ebitda margin growth,30.65%,8.84%,18.68%,-6.04%
,net income growth,38.34%,51.29%,37%,1%
,revenue growth,13.34%,8.73%,16%,12%
,roce,37.52%,26.29%,45.99%,14.14%
,roe,38.34%,33.23%,9.58%,-23.53%
