Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-271.62%,—,-202.7%
,ebitda margin growth,3.42%,10.7%,14.87%,21.91%
,net income growth,0.34%,31.36%,54%,120%
,revenue growth,-3.64%,22.8%,38%,59%
,roce,4.12%,-1.7%,29.55%,7.47%
,roe,0.32%,-5.47%,8.92%,425.41%
