Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,122.64%,379.65%,102.65%
,ebitda margin growth,-27.42%,32.12%,141.65%,-124.54%
,net income growth,-37.63%,89.72%,50%,42%
,revenue growth,-8.51%,33.09%,38%,50%
,roce,-32.65%,55.14%,471.01%,-1.06%
,roe,-37.62%,66.85%,5.25%,-159.52%
