Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,172,166,225,177,247,275,308,207,306,393,433,330
Expenses,148,140,182,147,198,206,224,156,211,243,249,217
Operating Profit,25,27,43,30,49,69,85,51,95,151,184,113
OPM %,14,16,19,17,20,25,28,25,31,38,42,34
Other Income,-30,3,1,1,8,2,6,16,10,5,11,2
Interest,1,3,2,4,0,1,1,1,1,1,1,1
Depreciation,4,4,5,6,7,6,7,8,8,10,10,10
Profit before tax,-10,24,37,20,50,63,83,58,96,145,184,104
Tax %,71,25,31,26,25,28,24,24,25,27,27,28
Net Profit,-17,18,26,15,38,45,63,44,72,106,134,75
EPS in Rs,-2.55,2.27,3.41,1.71,4.56,5.49,7.63,5.41,8.82,13.19,16.09,9.07
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,188,239,240,341,520,617,717,1007,1339,1462,,
Expenses,157,196,198,260,415,493,589,775,859,919,,
Operating Profit,31,42,42,80,105,123,128,232,480,543,,
OPM %,16,18,17,24,20,20,18,23,36,37,,
Other Income,3,0,2,1,3,4,-25,17,42,27,,
Interest,3,5,6,6,6,2,6,6,3,4,,
Depreciation,2,3,4,4,10,12,16,27,36,38,,
Profit before tax,28,35,35,72,91,112,82,216,483,529,,
Tax %,35,34,21,25,21,26,41,26,26,—,,
Net Profit,18,23,27,54,72,83,49,160,356,387,,
EPS in Rs,61.67,11.1,13.08,8.57,9.87,11.43,5.8,19.38,43.51,47.17,,
Dividend Payout %,0,0,0,0,15,13,26,8,6,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,2,2,10,10,32,36,36,37,41,41,,
Reserves,37,56,72,101,135,486,558,637,1269,1613,,
Borrowings,27,44,54,59,137,1,4,217,13,36,,
Other Liabilities,43,54,77,61,110,136,169,205,227,295,,
Total Liabilities,109,155,213,232,413,659,767,1096,1549,1984,,
Fixed Assets,28,32,79,85,186,205,259,427,570,745,,
CWIP,11,30,2,12,0,3,30,125,130,332,,
Investments,1,3,2,2,1,2,2,0,0,0,,
Other Assets,68,91,131,133,225,450,477,543,848,907,,
Total Assets,109,155,213,232,413,659,767,1096,1549,1984,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,29,8,15,27,28,-12,66,125,118,292,,
Cash from Investing Activity,-19,-25,-21,-24,-101,-121,-33,-365,-224,-266,,
Cash from Financing Activity,-7,15,6,0,72,140,-12,239,261,4,,
Net Cash Flow,3,-2,0,3,-1,8,20,-1,156,30,,
Free Cash Flow,10,-16,-7,6,-77,-46,-31,-155,-76,-36,,
CFO/OP,153,53,68,85,52,10,73,116,71,84,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,83,97,116,86,129,115,136,105,105,99,,
Inventory Days,76,89,95,148,123,150,131,139,119,149,,
Days Payable,148,154,168,146,172,158,157,119,103,99,,
Cash Conversion Cycle,11,31,43,88,80,107,111,125,121,149,,
Working Capital Days,46,64,28,34,51,141,139,80,123,116,,
ROCE %,—,38,34,27,33,24,21,16,20,32,,
