Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-11.75%,2.34%,38.23%
,ebitda margin growth,10.55%,1.46%,10.86%,12.14%
,net income growth,7.07%,5.32%,13%,17%
,revenue growth,5.92%,12.69%,10%,12%
,roce,15.43%,-5.18%,8.53%,15.58%
,roe,7.07%,-8.98%,14.44%,106.75%
