Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-70.14%,-80.8%,-23.23%
,ebitda margin growth,-27.51%,0.55%,-1.74%,14.43%
,net income growth,-36.6%,359.56%,14%,13%
,revenue growth,4.23%,-9.74%,9%,9%
,roce,-30.86%,124.74%,126.68%,45.6%
,roe,-36.6%,149.33%,48.29%,249.59%
