Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,910.1,853.5,916.9,789.7,891,943.7,1018,874.5,910.6,917.1,1036.5,736
Expenses,656,622,600,619.9,646.2,660.1,674.4,668.1,711.1,707.9,733.1,645.2
Operating Profit,254.1,231.5,316.9,169.8,244.8,283.6,343.6,206.4,199.5,209.2,303.4,90.8
OPM %,27.92,27.12,34.56,21.5,27.47,30.05,33.75,23.6,21.91,22.81,29.27,12.34
Other Income,14.2,25.6,16.1,50.1,16.5,18.3,18.9,17.7,15.4,-55.2,16.2,11.8
Interest,13,10.8,12.9,11.7,13.1,12.4,15.9,11.6,13.2,11.9,12.1,9.6
Depreciation,104.6,108.1,111.1,106.9,110.9,108.7,106.1,111.2,116.5,113.7,111.5,112.2
Profit before tax,150.7,138.2,209,101.3,137.3,180.8,240.5,101.3,85.2,28.4,196,-19.2
Tax %,22.69,19.32,9.76,25.27,22.72,27.49,23.78,14.41,21.24,47.18,24.54,-53.12
Net Profit,116.5,111.5,188.6,75.7,106.1,131.1,183.3,86.7,67.1,15,147.9,-9
EPS in Rs,2.9,2.77,4.69,1.88,2.64,3.26,4.55,2.15,1.67,0.37,3.67,-0.22
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,1423,1826,2012,2184,2604,3193,3489,3642,3739,3600,,
Expenses,949,1289,1394,1507,1861,2251,2472,2598,2817,2797,,
Operating Profit,474,537,618,678,743,942,1017,1045,921,803,,
OPM %,33,29,31,31,29,30,29,29,25,22,,
Other Income,53,75,153,94,75,63,77,101,-9,-12,,
Interest,23,32,35,28,24,45,47,53,49,47,,
Depreciation,131,164,219,274,310,366,426,433,453,454,,
Profit before tax,372,415,517,469,484,594,621,660,411,290,,
Tax %,18,20,20,14,18,22,18,25,23,—,,
Net Profit,305,332,412,405,396,464,510,496,317,221,,
EPS in Rs,7.64,8.29,10.3,10.12,9.88,11.57,12.69,12.33,7.86,5.49,,
Dividend Payout %,7,3,0,0,10,11,10,10,16,—,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Equity Capital,200,200,400,400,401,401,402,402,403,,,
Reserves,1520,1768,1776,2421,2897,3217,3856,4324,4436,,,
Borrowings,787,813,773,893,1022,815,555,578,458,,,
Other Liabilities,681,922,1214,1169,1245,1398,1339,1491,1757,,,
Total Liabilities,3189,3704,4163,4883,5564,5831,6152,6796,7055,,,
Fixed Assets,1030,1377,2020,2201,2393,2667,2850,2802,3000,,,
CWIP,155,274,234,237,346,177,838,1266,1046,,,
Investments,158,716,776,702,1034,918,548,647,741,,,
Other Assets,1846,1337,1133,1743,1790,2069,1916,2081,2268,,,
Total Assets,3189,3704,4163,4883,5564,5831,6152,6796,7055,,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Cash from Operating Activity,446,630,677,701,581,824,1042,1168,915,,,
Cash from Investing Activity,-349,-646,-424,-629,-611,-653,-494,-744,-839,,,
Cash from Financing Activity,-79,-72,-226,58,-31,-342,-551,-142,-215,,,
Net Cash Flow,18,-88,28,130,-62,-172,-4,281,-138,,,
Free Cash Flow,82,47,34,255,105,305,553,398,547,,,
CFO/OP,111,135,127,116,92,102,115,123,107,,,
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,---,---,---,---,,,
Debtor Days,68,68,72,79,71,61,46,53,50,,,
Inventory Days,82,30,18,41,87,141,94,60,56,,,
Days Payable,195,154,156,167,113,109,100,136,138,,,
Cash Conversion Cycle,-44,-56,-66,-47,45,92,40,-23,-32,,,
Working Capital Days,-48,-103,-172,-66,-43,-14,-27,-51,-68,,,
ROCE %,—,17,17,14,13,15,15,13,10,,,
