Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-195.49%,-742.72%,-284.12%
,ebitda margin growth,32.42%,34.17%,10.37%,13.49%
,net income growth,33.19%,90.08%,1%,5%
,revenue growth,5.4%,21.64%,1%,2%
,roce,35.53%,41.3%,-12.81%,14.52%
,roe,33.17%,58.19%,6.44%,-42.39%
