Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-7.93%,-229.67%,—
,ebitda margin growth,19.45%,-9.13%,-7.15%,-7.25%
,net income growth,-57.04%,48.92%,33%,20%
,revenue growth,3.1%,28.78%,23%,13%
,roce,19.53%,-11.29%,-17.69%,8.65%
,roe,-57.04%,21.75%,15.39%,54.81%
