Item,Date,Document
,2026-09-01,[Appointment Of Chief Financial Officer With Effect From 1St September 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7fa394d4-e3aa-4a0b-bca5-9308486ba1a7.pdf)
,2026-08-12,[Disclosure Pursuant To Regulation 30 - Show Cause Notice](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=902b1ecd-6001-407b-b5d7-f54758ecacd1.pdf)
,2026-08-03,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=011e761a-3b20-491d-909c-121cc9e80a51.pdf)
,2026-07-28,[Announcement under Regulation 30 (LODR)-Press Release / Media Release](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=90e7609e-cf5b-4e12-b403-ae3dc931666b.pdf)
,2026-07-28,[Shareholder Meeting / Postal Ballot-Scrutinizers Report](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6df1f09a-6d4a-4d03-b5d3-a7e6f10bbd1c.pdf)
,2026-07-28,[Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Outcome](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e8e0b8de-e3db-44ad-a064-8ba3f508185e.pdf)
,2026-07-28,[Shareholder Meeting / Postal Ballot-Scrutinizers Report](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a9aabeae-ea2c-416e-9f54-90acb1fbe84c.pdf)
,2026-07-24,[Board Meeting Outcome for Outcome Of Board Meeting](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6ad879e1-3d02-42ee-83eb-acdaf5481a45.pdf)
,2026-07-24,[Announcement under Regulation 30 (LODR)-Change in Management](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=37c84040-4e1d-4270-b8a6-36d31164c86c.pdf)
,2026-07-24,[Shareholder Meeting / Postal Ballot-Outcome of AGM](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8924f80f-fa32-4750-83a4-ab36cd06e7a5.pdf)
,Date,Document
,---,---
,2026-07-24,[Results-Financial Results For Q1](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bcca4d89-4487-44ec-8198-5c9fcf3358d5.pdf)
,2026-05-13,[Financial Results For The Year Ended 31St March 2026](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=887529b2-55db-4ba5-866f-34eaa2a3ab35.pdf)
,2026-02-10,[Financial Results For Q3](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=aadd4445-00da-43a3-9135-fcac299a93fe.pdf)
,2025-11-04,[Financial Results For Q2](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=faf542f6-792f-4dfe-8b29-5d40444abd17.pdf)
,2025-08-12,[Financial Results For The Q1 FY 2025-26](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=32182aee-5863-4a39-b706-b016899b22e4.pdf)
,2025-05-15,[Results-Financial Results For Financial Year Ended March 31 2025](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8d64e916-48eb-453f-9d0b-440e741a9e5b.pdf)
,2025-02-06,[Results - Financial Results For The Quarter Ended 31St December 2024](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f5711e64-c1c9-48d6-bea8-c19ce2928e6f.pdf)
,2024-11-08,[Un-Audited Financial Results (Standalone And Consolidated) For The Quarter And Half Year Ended 30Th September 2024](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=19399dc6-c3c3-4d63-b90e-8515db8c5df8.pdf)
,2024-07-22,[OUTCOME OF BOARD MEETING - APPROVAL OF UNAUDITED FINANCIAL RESULTS (STANDALONE & CONSOLIDATED) FOR THE QUARTER ENDED 30TH JUNE 2024](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fec806db-c5df-4578-a9d8-f26c2c5d0e47.pdf)
,2024-01-30,[Financial Result For The Quarter And Period Ended 31.12.2023](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=138a9ab5-eee5-42fd-9d6c-a54b60d3f932.pdf)
,Date,Document
,---,---
,2026-05-21,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4e66b1b2-29bf-4fd7-b5ff-6a59bd72392a.pdf)
,2026-02-17,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b5a05244-20e3-4282-83cf-2955472e6502.pdf)
,2025-11-12,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=091e8e0b-8b7e-498e-96b2-3d7880394351.pdf)
,2025-05-23,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fa524a21-8857-4d59-9bc3-88530ed9dc26.pdf)
,2025-02-14,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ab46b8e2-93e1-4604-b527-5b13710c7acb.pdf)
,2024-11-19,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bfe3d84e-127c-42f7-a5ba-dc1b270669c3.pdf)
,2024-07-31,[Announcement under Regulation 30 (LODR)-Earnings Call Transcript](https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=499fb82b-26a3-4896-8643-ec148d84f666.pdf)
