Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,16.01%,59.18%,561.46%
,ebitda margin growth,-12.67%,4.9%,3.63%,27.27%
,net income growth,-19.3%,22.84%,11%,31%
,revenue growth,-4.44%,14.02%,9%,15%
,roce,-14.36%,-1.84%,-6.18%,27.72%
,roe,-19.3%,2.72%,19.14%,11.57%
