Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-89.57%,-84.02%,118.13%
,ebitda margin growth,41.43%,18.37%,7.97%,-4.09%
,net income growth,127.67%,52.45%,27%,16%
,revenue growth,26.24%,-4.32%,9%,6%
,roce,43.47%,8.62%,65.11%,10.19%
,roe,127.62%,37.22%,6.05%,10.92%
