Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,157.87%,58.79%,235.31%
,ebitda margin growth,19.17%,14.8%,13.63%,17.27%
,net income growth,-7.11%,39.31%,19%,23%
,revenue growth,12.04%,57.27%,22%,22%
,roce,23.31%,31.06%,-9.3%,8.04%
,roe,-7.12%,20.67%,7.75%,-17.78%
