Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-3.76%,12.11%,71.86%
,ebitda margin growth,-7.1%,-4.56%,-6.71%,1.17%
,net income growth,-15.6%,1.67%,29%,40%
,revenue growth,-6.85%,18.19%,19%,27%
,roce,-10.09%,-7.89%,-10.71%,13.06%
,roe,-15.59%,-8.82%,13.95%,38.97%
