Item,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,37.77%,34.25%,29.79%,29.77%,29.93%,30.48%,30.48%
FIIs,17.44%,18.54%,18.69%,19.39%,19.24%,17.5%,19.19%
DIIs,12.56%,18.04%,18.1%,18.49%,18.81%,20.61%,23.38%
Government,0%,0%,0%,0%,0%,0%,0%
Public,13.05%,12.5%,13.25%,12.42%,12.39%,12.18%,11.29%
Others,19.18%,16.67%,20.17%,19.93%,19.63%,19.23%,15.65%
No. of Shareholders,98425,82712,87760,87416,84595,79460,77899
