Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,8.01%,-2.49%,36.55%
,ebitda margin growth,-15.46%,14.87%,28.26%,9.56%
,net income growth,-17.04%,-1.92%,5%,6%
,revenue growth,-40.21%,-14.29%,-10%,11%
,roce,-16.94%,-10.03%,-9.84%,23.58%
,roe,-17.04%,-12.54%,18.96%,-32.05%
