Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,52.75%,44.3%,—
,ebitda margin growth,-1.53%,-3.03%,-4.53%,—
,net income growth,1.16%,5.98%,12%,54%
,revenue growth,-5.58%,11.65%,14%,46%
,roce,-1.21%,-7.3%,-6.01%,—
,roe,1.15%,-9.89%,34.21%,—
