Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-94.57%,105.87%,-94.04%
,ebitda margin growth,70.85%,-6.04%,-17.55%,-5.15%
,net income growth,74.54%,-65.47%,-51%,-21%
,revenue growth,2.97%,-5.11%,8%,10%
,roce,7.62%,-9.36%,-24.72%,6.08%
,roe,74.54%,-65.99%,6.51%,-86.5%
