Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,21.17%,31.4%,231.21%
,ebitda margin growth,45.38%,3.9%,3.37%,19%
,net income growth,91.25%,-0.7%,17%,44%
,revenue growth,28.2%,11.25%,18%,33%
,roce,50.85%,-15.95%,-36.22%,7.94%
,roe,91.25%,-24.94%,7.58%,-64.46%
