Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,11248,11572,12199,12547,12686,12801,10634,12264,11609,11373,11005,11310
Expenses,4424,4618,4753,4947,5752,5726,6770,5989,6644,6095,5272,5082
Financing Profit,653,677,623,460,-405,-498,-3722,-1350,-2235,-1533,-901,-397
Financing Margin %,6,6,5,4,-3,-4,-35,-11,-19,-13,-8,-4
Other Income,2282,2396,2508,2442,2185,2355,709,2157,1651,1707,1714,1787
Interest,6171,6277,6822,7139,7339,7573,7586,7624,7199,6811,6634,6625
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,2935,3073,3131,2902,1780,1857,-3013,807,-584,174,813,1389
Tax %,25,25,25,25,25,24,-23,25,-25,26,27,25
Net Profit,2202,2301,2349,2171,1331,1402,-2329,604,-437,128,594,1037
EPS in Rs,28.34,29.59,30.18,27.88,17.09,18,-29.89,7.75,-5.61,1.64,7.63,13.31
Gross NPA %,1.93,1.92,1.92,2.02,2.11,2.25,3.13,3.64,3.6,3.56,3.43,3.25
Net NPA %,0.57,0.57,0.57,0.6,0.64,0.68,0.95,1.12,1.04,1.04,1,0.95
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,17281,22261,28783,29000,30822,36368,45748,48668,46251,45297,,
Expenses,6555,9284,12544,15772,15561,15425,17569,22664,23437,23094,,
Financing Profit,942,-438,-485,-2244,-560,2167,3046,-3632,-5455,-5066,,
Financing Margin %,5,-2,-2,-8,-2,6,7,-7,-12,-11,,
Other Income,4750,5647,6953,6501,7345,8173,9396,7690,7229,6859,,
Interest,9783,13415,16724,15472,15822,18776,25132,29636,28268,27270,,
Depreciation,212,229,291,328,352,407,463,532,564,0,,
Profit before tax,5481,4980,6177,3929,6433,9932,11979,3526,1210,1792,,
Tax %,34,34,28,25,25,25,25,27,27,—,,
Net Profit,3606,3301,4458,2930,4805,7444,8977,2576,889,1322,,
EPS in Rs,60.08,54.77,64.28,37.89,62.03,95.93,115.34,33.06,11.41,16.97,,
Dividend Payout %,12,14,0,13,14,15,14,0,13,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,598,600,603,694,773,775,776,778,779,779,,
Reserves,20049,23243,26085,34054,42727,47252,54229,62429,64057,64961,,
Borrowing,21454,38289,47321,60754,51323,47323,49011,47611,53704,42789,,
Deposits,127572,151639,194868,202027,255870,293349,336120,384586,410862,399931,,
Other Liabilities,8976,7856,8944,9700,12210,13268,17701,19689,24706,34934,,
Total Liabilities,178650,221628,277821,307229,362903,401967,457837,515094,554107,543394,,
Fixed Assets,1307,1313,1688,1792,1801,1834,1944,2127,2309,2420,,
CWIP,28,25,22,79,75,95,135,197,188,126,,
Investments,36704,50078,59268,59938,69653,70930,83076,106486,114457,125007,,
Other Assets,140611,170211,216843,245419,291374,329109,372682,406283,437154,415841,,
Total Assets,178650,221628,277821,307229,362903,401967,457837,515094,554107,543394,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,11569,-20700,-6389,-12907,44976,16672,-12442,-16925,18278,993,,
Cash from Investing Activity,-285,-217,-633,1445,-324,-395,-481,-703,-685,-524,,
Cash from Financing Activity,-2768,15505,8590,12733,-4096,-4302,1115,-2242,4876,-10912,,
Net Cash Flow,8516,-5412,1568,1271,40556,11975,-11808,-19869,22468,-10443,,
Free Cash Flow,11296,-20920,-7027,-13324,44645,16266,-13002,-17636,17569,359,,
CFO/OP,154,-175,-31,-66,346,124,-54,-49,82,5,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,15,16,13,15,7,10,14,15,4,1,,
