Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-25.06%,30.5%,49.27%
,ebitda margin growth,-21%,2.69%,10.74%,26.78%
,net income growth,-14.1%,8.03%,23%,35%
,revenue growth,-10.21%,4.35%,6%,9%
,roce,-22.61%,-5.56%,-6.39%,24.54%
,roe,-14.1%,-2.25%,19.46%,14.73%
