Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,2195,2211,2325,2103,2288,2208,2288,2154,2355,2308,2263,2160
Expenses,1648,1693,1827,1662,1706,1743,1847,1721,1779,1793,1836,1715
Operating Profit,546,517,498,442,582,465,441,433,576,514,427,444
OPM %,25,23,21,21,25,21,19,20,24,22,19,21
Other Income,105,92,93,94,96,96,129,95,88,92,89,86
Interest,17,19,20,19,19,18,17,17,19,20,21,20
Depreciation,153,159,165,169,166,85,160,162,147,154,153,150
Profit before tax,482,431,406,347,493,457,392,349,498,433,342,360
Tax %,25,24,26,25,25,26,27,26,26,24,24,24
Net Profit,368,331,318,259,366,367,300,267,380,335,264,269
EPS in Rs,4.82,4.34,4.16,3.39,4.8,4.81,3.94,3.5,4.97,4.38,3.45,3.5
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,6612,6956,6530,6427,7653,8169,8653,8887,9079,9085,,
Expenses,5120,5164,4836,5380,5904,6301,6695,6957,7128,7124,,
Operating Profit,1492,1792,1694,1047,1748,1868,1959,1930,1951,1962,,
OPM %,23,26,26,16,23,23,23,22,21,22,,
Other Income,343,364,-560,223,270,333,400,447,394,354,,
Interest,6,7,46,43,63,65,72,74,79,80,,
Depreciation,420,452,544,553,561,573,619,581,616,604,,
Profit before tax,1409,1697,544,674,1394,1563,1669,1722,1651,1632,,
Tax %,25,28,25,26,25,25,24,25,25,—,,
Net Profit,1060,1222,406,501,1052,1173,1262,1293,1246,1247,,
EPS in Rs,14.04,16.14,5.3,6.63,13.85,15.41,16.55,16.94,16.3,16.3,,
Dividend Payout %,39,42,54,60,52,57,56,54,53,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,195,244,305,305,305,305,305,305,305,381,,
Reserves,8576,9078,10023,9741,9883,10451,10921,11519,12077,12562,,
Borrowings,62,62,771,70,723,735,779,939,861,965,,
Other Liabilities,1293,1534,1700,1673,1500,1511,1460,1276,1234,1269,,
Total Liabilities,10126,10918,12798,11789,12410,13002,13465,14038,14477,15176,,
Fixed Assets,3658,4019,4564,5348,5663,5723,5621,6015,6578,7172,,
CWIP,617,692,626,943,923,755,837,893,854,906,,
Investments,1080,1126,1169,1199,1261,1207,1213,1107,1121,1069,,
Other Assets,4771,5080,6438,4299,4564,5317,5794,6024,5924,6029,,
Total Assets,10126,10918,12798,11789,12410,13002,13465,14038,14477,15176,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,2029,1313,-1941,4286,1029,1369,1406,1388,1712,1482,,
Cash from Investing Activity,-882,-745,1381,-2875,34,-1070,-593,-699,-629,-236,,
Cash from Financing Activity,-292,-492,481,-1470,-457,-595,-854,-840,-914,-954,,
Net Cash Flow,855,76,-79,-59,606,-296,-41,-150,169,292,,
Free Cash Flow,945,433,-2658,3290,567,765,835,603,868,344,,
CFO/OP,194,111,-78,261,121,99,98,93,97,95,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,4,5,5,9,9,9,10,14,16,20,,
Cash Conversion Cycle,4,5,5,9,9,9,10,14,16,20,,
Working Capital Days,5,5,131,-25,-37,-32,-20,-11,-4,2,,
ROCE %,14,15,16,13,7,13,14,14,14,13,,
